"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER"
"1","all","Placebo","mnwk","no","all","Male","LPM","(Intercept)",-5.89594152764026e-05,5.42234815551126e-06,-10.8734101141175,1.54322931234322e-27,NA,NA
"1.1","all","Placebo","mnwk","no","all","Male","LPM","policyTRUE",-2.10908753487293e-06,9.05299835510209e-07,-2.32971160729781,0.0198213987270977,NA,NA
"1.2","all","Placebo","mnwk","no","all","Male","LPM","age_grp16-19",0.000636085076815409,6.55157475641147e-06,97.0888832784708,0,NA,NA
"1.3","all","Placebo","mnwk","no","all","Male","LPM","age_grp20-24",0.000491755349456855,5.59127009799674e-06,87.9505623656141,0,NA,NA
"1.4","all","Placebo","mnwk","no","all","Male","LPM","age_grp25-34",0.000317606860825056,5.24348877255191e-06,60.5716679489489,0,NA,NA
"1.5","all","Placebo","mnwk","no","all","Male","LPM","age_grp35-44",0.000241394988068172,5.20421222919368e-06,46.3845395685511,0,NA,NA
"1.6","all","Placebo","mnwk","no","all","Male","LPM","age_grp45-54",0.000191231112225578,5.1841782880564e-06,36.8874490034702,7.34626068077375e-298,NA,NA
"1.7","all","Placebo","mnwk","no","all","Male","LPM","age_grp55-64",0.000130543883433364,5.191085174663e-06,25.1477059306465,1.49731926347156e-139,NA,NA
"1.8","all","Placebo","mnwk","no","all","Male","LPM","age_grp65-199",3.85484500841729e-05,5.17108438490526e-06,7.45461632703159,9.01297516141449e-14,NA,NA
"1.9","all","Placebo","mnwk","no","all","Male","LPM","curr_pts_grp1-3",0.000651801930495377,1.70086222755979e-06,383.218534654928,0,NA,NA
"1.10","all","Placebo","mnwk","no","all","Male","LPM","curr_pts_grp4-6",0.00126778026565472,3.78144836533662e-06,335.263143423052,0,NA,NA
"1.11","all","Placebo","mnwk","no","all","Male","LPM","curr_pts_grp7-9",0.00175088963274297,6.92619592708768e-06,252.792391548643,0,NA,NA
"1.12","all","Placebo","mnwk","no","all","Male","LPM","curr_pts_grp10-150",0.0025796756848799,1.02060048393221e-05,252.760578256912,0,NA,NA
"1.13","all","Placebo","mnwk","no","all","Male","LPM","month02",7.08600028898725e-05,2.29529642108663e-06,30.8718308619704,2.85399264754934e-209,NA,NA
"1.14","all","Placebo","mnwk","no","all","Male","LPM","month03",6.7915647738199e-05,2.24072441282618e-06,30.3096834887154,8.5460463114179e-202,NA,NA
"1.15","all","Placebo","mnwk","no","all","Male","LPM","month04",6.5907819744627e-06,2.17578803744597e-06,3.02914707730411,0.00245245259732516,NA,NA
"1.16","all","Placebo","mnwk","no","all","Male","LPM","month05",2.48133545369443e-05,2.18605305706461e-06,11.3507558550584,7.35244581210902e-30,NA,NA
"1.17","all","Placebo","mnwk","no","all","Male","LPM","month06",3.37144661244042e-05,2.20796268237312e-06,15.2694909173772,1.2212337197382e-52,NA,NA
"1.18","all","Placebo","mnwk","no","all","Male","LPM","month07",4.10129847133646e-05,2.19211259300339e-06,18.7093422319029,4.15475975725322e-78,NA,NA
"1.19","all","Placebo","mnwk","no","all","Male","LPM","month08",-8.85566717982487e-06,2.152590456871e-06,-4.11395820861226,3.88931889742262e-05,NA,NA
"1.20","all","Placebo","mnwk","no","all","Male","LPM","month09",0.000118044204228644,2.29508847366166e-06,51.4334003169441,0,NA,NA
"1.21","all","Placebo","mnwk","no","all","Male","LPM","month10",8.98597619965393e-05,2.2519140507923e-06,39.9037263277982,0,NA,NA
"1.22","all","Placebo","mnwk","no","all","Male","LPM","month11",8.84602753842497e-05,2.27709441696658e-06,38.847873292005,0,NA,NA
"1.23","all","Placebo","mnwk","no","all","Male","LPM","month12",-0.000214761765953519,1.92263494465454e-06,-111.701790582043,0,NA,NA
"1.24","all","Placebo","mnwk","no","all","Male","LPM","weekdayMonday",0.000150653053982927,1.58487018906812e-06,95.0570305518259,0,NA,NA
"1.25","all","Placebo","mnwk","no","all","Male","LPM","weekdayTuesday",0.000195554659412197,1.62897208318533e-06,120.047888745769,0,NA,NA
"1.26","all","Placebo","mnwk","no","all","Male","LPM","weekdayWednesday",0.000229766701197958,1.65634610564719e-06,138.719015557549,0,NA,NA
"1.27","all","Placebo","mnwk","no","all","Male","LPM","weekdayThursday",0.000213442803635009,1.64348512935759e-06,129.872062620025,0,NA,NA
"1.28","all","Placebo","mnwk","no","all","Male","LPM","weekdayFriday",0.000162562801151786,1.59981046958362e-06,101.61378753453,0,NA,NA
"1.29","all","Placebo","mnwk","no","all","Male","LPM","weekdaySaturday",3.13600160222238e-05,1.48037570315486e-06,21.1838224279092,1.34653136485788e-99,NA,NA
"2","all","Placebo","mnwk","with","all","Male","LPM","(Intercept)",-5.09672087230903e-05,7.4850524935325e-06,-6.80919856836392,9.81439592971722e-12,NA,NA
"2.1","all","Placebo","mnwk","with","all","Male","LPM","policyTRUE",-1.80923265957695e-05,1.0215233309786e-05,-1.77111242074494,0.0765420090646991,NA,NA
"2.2","all","Placebo","mnwk","with","all","Male","LPM","age_grp16-19",0.000651447661431855,9.35335850458159e-06,69.6485290404248,0,NA,NA
"2.3","all","Placebo","mnwk","with","all","Male","LPM","age_grp20-24",0.000492147210650309,7.95251565838008e-06,61.8857267048198,0,NA,NA
"2.4","all","Placebo","mnwk","with","all","Male","LPM","age_grp25-34",0.000310861175899076,7.4699424015421e-06,41.6149361251971,0,NA,NA
"2.5","all","Placebo","mnwk","with","all","Male","LPM","age_grp35-44",0.000235172573923494,7.41104782372342e-06,31.7327022463255,5.50180853953897e-221,NA,NA
"2.6","all","Placebo","mnwk","with","all","Male","LPM","age_grp45-54",0.000181301330981879,7.38346469538672e-06,24.5550481327767,3.82017901458282e-133,NA,NA
"2.7","all","Placebo","mnwk","with","all","Male","LPM","age_grp55-64",0.000118790725366998,7.39240569745546e-06,16.0692919502358,4.18845783445968e-58,NA,NA
"2.8","all","Placebo","mnwk","with","all","Male","LPM","age_grp65-199",2.47133296428346e-05,7.36300536752821e-06,3.35641880037512,0.000789589041312261,NA,NA
"2.9","all","Placebo","mnwk","with","all","Male","LPM","curr_pts_grp1-3",0.000651816540883349,1.70086555898535e-06,383.22637403052,0,NA,NA
"2.10","all","Placebo","mnwk","with","all","Male","LPM","curr_pts_grp4-6",0.00126788794435492,3.78153309275045e-06,335.284106540169,0,NA,NA
"2.11","all","Placebo","mnwk","with","all","Male","LPM","curr_pts_grp7-9",0.00175114316738403,6.92639622185061e-06,252.82168551948,0,NA,NA
"2.12","all","Placebo","mnwk","with","all","Male","LPM","curr_pts_grp10-150",0.00258028889702367,1.020642192378e-05,252.8103302306,0,NA,NA
"2.13","all","Placebo","mnwk","with","all","Male","LPM","month02",7.08600694471457e-05,2.29529617687095e-06,30.87186314393,2.851146790597e-209,NA,NA
"2.14","all","Placebo","mnwk","with","all","Male","LPM","month03",6.79160620529407e-05,2.24072419035133e-06,30.3098714002333,8.49745762419827e-202,NA,NA
"2.15","all","Placebo","mnwk","with","all","Male","LPM","month04",6.59515931055565e-06,2.1757660851804e-06,3.03118949940284,0.00243592317715735,NA,NA
"2.16","all","Placebo","mnwk","with","all","Male","LPM","month05",2.48170903148283e-05,2.18603446889162e-06,11.3525613012915,7.20216405582946e-30,NA,NA
"2.17","all","Placebo","mnwk","with","all","Male","LPM","month06",3.37172125277545e-05,2.20795398198445e-06,15.2707949544539,1.19705465091856e-52,NA,NA
"2.18","all","Placebo","mnwk","with","all","Male","LPM","month07",4.10148661532607e-05,2.19210527544196e-06,18.7102629662672,4.08359985367786e-78,NA,NA
"2.19","all","Placebo","mnwk","with","all","Male","LPM","month08",-8.85438259012254e-06,2.15258805369284e-06,-4.11336603626158,3.89931373569162e-05,NA,NA
"2.20","all","Placebo","mnwk","with","all","Male","LPM","month09",0.000118044871557567,2.295086530844e-06,51.4337346200872,0,NA,NA
"2.21","all","Placebo","mnwk","with","all","Male","LPM","month10",8.98597724270022e-05,2.25191236019962e-06,39.9037609168043,0,NA,NA
"2.22","all","Placebo","mnwk","with","all","Male","LPM","month11",8.84599089664598e-05,2.27709368385451e-06,38.8477248844328,0,NA,NA
"2.23","all","Placebo","mnwk","with","all","Male","LPM","month12",-0.000214762052264301,1.9226342362512e-06,-111.701980654963,0,NA,NA
"2.24","all","Placebo","mnwk","with","all","Male","LPM","weekdayMonday",0.000150653037087414,1.58487026585774e-06,95.0570152856517,0,NA,NA
"2.25","all","Placebo","mnwk","with","all","Male","LPM","weekdayTuesday",0.00019555482282312,1.62897235367259e-06,120.047969127427,0,NA,NA
"2.26","all","Placebo","mnwk","with","all","Male","LPM","weekdayWednesday",0.000229766805942188,1.65634631267485e-06,138.719061457103,0,NA,NA
"2.27","all","Placebo","mnwk","with","all","Male","LPM","weekdayThursday",0.000213442921938844,1.64348532625257e-06,129.872119044427,0,NA,NA
"2.28","all","Placebo","mnwk","with","all","Male","LPM","weekdayFriday",0.000162562934714929,1.59981058302277e-06,101.613863816161,0,NA,NA
"2.29","all","Placebo","mnwk","with","all","Male","LPM","weekdaySaturday",3.13600203135974e-05,1.48037582249652e-06,21.1838236189994,1.34649731444963e-99,NA,NA
"2.30","all","Placebo","mnwk","with","all","Male","LPM","policyTRUE:age_grp16-19",-2.93599518838053e-05,1.30972566574851e-05,-2.24168714499659,0.0249815993658912,NA,NA
