"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","mfx"
"1","all","Monthly 4 yr.","mnwk","no","all","All","LPM","(Intercept)",-5.88377666720791e-05,2.98392339243386e-06,-19.7182564476254,1.50322282410952e-86,NA
"1.1","all","Monthly 4 yr.","mnwk","no","all","All","LPM","policyTRUE",-2.14905212545785e-05,5.01841592447253e-07,-42.8233163173642,0,NA
"1.2","all","Monthly 4 yr.","mnwk","no","all","All","LPM","policy_monthpolicy01",6.3464841891014e-05,1.82261618634751e-06,34.820738653812,1.18097448714437e-265,NA
"1.3","all","Monthly 4 yr.","mnwk","no","all","All","LPM","policy_monthpolicy02",4.60902212422036e-05,1.79487718049478e-06,25.6787604985307,2.0188196192413e-145,NA
"1.4","all","Monthly 4 yr.","mnwk","no","all","All","LPM","policy_monthpolicy03",1.00903125086753e-05,1.75556342745678e-06,5.74762059340276,9.05080482494935e-09,NA
"1.5","all","Monthly 4 yr.","mnwk","no","all","All","LPM","policy_monthpolicy04",-4.63631305445234e-05,1.64578360978307e-06,-28.1708544604077,1.33104796288379e-174,NA
"1.6","all","Monthly 4 yr.","mnwk","no","all","All","LPM","policy_monthpolicy05",-4.29940956696099e-05,1.54448959339213e-06,-27.837089905658,1.5438003828083e-170,NA
"1.7","all","Monthly 4 yr.","mnwk","no","all","All","LPM","policy_monthpolicy06",-6.02229643398831e-05,1.78010484993352e-06,-33.8311332291085,6.87615634512858e-251,NA
"1.8","all","Monthly 4 yr.","mnwk","no","all","All","LPM","policy_monthpolicy07",-4.25021340528885e-05,1.73958051898726e-06,-24.4324040129123,7.74222184233642e-132,NA
"1.9","all","Monthly 4 yr.","mnwk","no","all","All","LPM","policy_monthpolicy08",-6.40871988389871e-05,1.69945895093425e-06,-37.7103541122639,3.36081865077058e-311,NA
"1.10","all","Monthly 4 yr.","mnwk","no","all","All","LPM","policy_monthpolicy09",-6.01782857240484e-05,1.12068798050961e-06,-53.697627502602,0,NA
"1.11","all","Monthly 4 yr.","mnwk","no","all","All","LPM","policy_monthpolicy10",-0.000130198728844411,1.39441259495149e-06,-93.371738978692,0,NA
"1.12","all","Monthly 4 yr.","mnwk","no","all","All","LPM","policy_monthpolicy11",-6.2993000202522e-05,1.70199192268893e-06,-37.0113391037726,7.52492589003855e-300,NA
"1.13","all","Monthly 4 yr.","mnwk","no","all","All","LPM","policy_monthpolicy12",-2.6223832494835e-05,1.68500371152949e-06,-15.5630710575893,1.29722460920973e-54,NA
"1.14","all","Monthly 4 yr.","mnwk","no","all","All","LPM","age_grp16-19",0.000436028380980676,3.34925321406096e-06,130.186747048603,0,NA
"1.15","all","Monthly 4 yr.","mnwk","no","all","All","LPM","age_grp20-24",0.000346016404693337,3.02154826405743e-06,114.516259365884,0,NA
"1.16","all","Monthly 4 yr.","mnwk","no","all","All","LPM","age_grp25-34",0.000227681669661016,2.8991261237131e-06,78.5345859218463,0,NA
"1.17","all","Monthly 4 yr.","mnwk","no","all","All","LPM","age_grp35-44",0.000185609509394061,2.88768662199433e-06,64.2761953393242,0,NA
"1.18","all","Monthly 4 yr.","mnwk","no","all","All","LPM","age_grp45-54",0.000139666512145148,2.87826433408921e-06,48.5245606148762,0,NA
"1.19","all","Monthly 4 yr.","mnwk","no","all","All","LPM","age_grp55-64",9.02924588487669e-05,2.88045639833777e-06,31.3465806671721,1.08312303078138e-215,NA
"1.20","all","Monthly 4 yr.","mnwk","no","all","All","LPM","age_grp65-199",2.83016098985331e-05,2.87586702079595e-06,9.84107042984906,7.49095450208187e-23,NA
"1.21","all","Monthly 4 yr.","mnwk","no","all","All","LPM","curr_pts_grp1-3",0.00056763690382169,8.44057656431249e-07,672.509631891391,0,NA
"1.22","all","Monthly 4 yr.","mnwk","no","all","All","LPM","curr_pts_grp4-6",0.00115258084819924,2.01961148301498e-06,570.694342893422,0,NA
"1.23","all","Monthly 4 yr.","mnwk","no","all","All","LPM","curr_pts_grp7-9",0.00163760904554795,3.92135518814868e-06,417.613036048665,0,NA
"1.24","all","Monthly 4 yr.","mnwk","no","all","All","LPM","curr_pts_grp10-150",0.00227208395976838,5.59696837386968e-06,405.949043838796,0,NA
"1.25","all","Monthly 4 yr.","mnwk","no","all","All","LPM","month02",5.94629557549701e-05,1.18553146699265e-06,50.1572142203957,0,NA
"1.26","all","Monthly 4 yr.","mnwk","no","all","All","LPM","month03",6.69280825160816e-05,1.16163390469952e-06,57.6154692500936,0,NA
"1.27","all","Monthly 4 yr.","mnwk","no","all","All","LPM","month04",3.69033986100812e-05,1.14941636657401e-06,32.1062059696231,3.61184664134938e-226,NA
"1.28","all","Monthly 4 yr.","mnwk","no","all","All","LPM","month05",5.33306852803411e-05,1.15263334429008e-06,46.2685602013259,0,NA
"1.29","all","Monthly 4 yr.","mnwk","no","all","All","LPM","month06",4.66922967309057e-05,1.15659425689837e-06,40.3705071613618,0,NA
"1.30","all","Monthly 4 yr.","mnwk","no","all","All","LPM","month07",3.98005086667904e-05,1.13986481790643e-06,34.9168673701951,4.12417051484702e-267,NA
"1.31","all","Monthly 4 yr.","mnwk","no","all","All","LPM","month08",-4.00794971833136e-07,1.11247249267949e-06,-0.36027405124219,0.71864220235197,NA
