"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"1","high","4 yr.","excluded","no","all","All","LPM","(Intercept)",-0.00025023532008158,5.08739256531656e-05,-4.91873424094626,8.71056481934656e-07
"1.1","high","4 yr.","excluded","no","all","All","LPM","policyTRUE",-0.000352246189982378,1.79452400071402e-06,-196.289483920094,0
"1.2","high","4 yr.","excluded","no","all","All","LPM","age_grp16-19",0.00111920005094416,5.17757689759478e-05,21.6162902662842,1.26230779236484e-103
"1.3","high","4 yr.","excluded","no","all","All","LPM","age_grp20-24",0.000957083891700807,5.0934478202566e-05,18.7904917351758,9.0340840886862e-79
"1.4","high","4 yr.","excluded","no","all","All","LPM","age_grp25-34",0.000956894899716087,5.08790153074588e-05,18.8072605952303,6.58557651629849e-79
"1.5","high","4 yr.","excluded","no","all","All","LPM","age_grp35-44",0.000888116241988807,5.08805604315465e-05,17.4549225569883,3.15811964651345e-68
"1.6","high","4 yr.","excluded","no","all","All","LPM","age_grp45-54",0.000843858431967401,5.08855478252578e-05,16.5834597057937,9.17904568563382e-62
"1.7","high","4 yr.","excluded","no","all","All","LPM","age_grp55-64",0.000770185440014393,5.09076857091331e-05,15.1290601661787,1.04173677339733e-51
"1.8","high","4 yr.","excluded","no","all","All","LPM","age_grp65-199",0.000646406177228053,5.09426769010021e-05,12.6888930176211,6.81424570719212e-37
"1.9","high","4 yr.","excluded","no","all","All","LPM","curr_pts_grp1-3",0.000390643572036303,1.89889429400486e-06,205.721599811866,0
"1.10","high","4 yr.","excluded","no","all","All","LPM","curr_pts_grp4-6",0.000838231097842222,2.7147365435299e-06,308.77069815117,0
"1.11","high","4 yr.","excluded","no","all","All","LPM","curr_pts_grp7-9",0.00124868568556214,4.14899004684593e-06,300.961359623264,0
"1.12","high","4 yr.","excluded","no","all","All","LPM","curr_pts_grp10-150",0.00205199109644385,6.03722698172234e-06,339.889671641672,0
"2","high","4 yr.","excluded","with","all","All","LPM","(Intercept)",-0.000129521628655779,6.29606075068295e-05,-2.05718517950656,0.0396684168151118
"2.1","high","4 yr.","excluded","with","all","All","LPM","policyTRUE",-0.000970289562328954,6.29647005039985e-05,-15.410056024444,1.40092043797035e-53
"2.2","high","4 yr.","excluded","with","all","All","LPM","age_grp16-19",0.00140969034658506,6.42513457250792e-05,21.9402462419525,1.07324443512464e-106
"2.3","high","4 yr.","excluded","with","all","All","LPM","age_grp20-24",0.00100583452883301,6.31035440369523e-05,15.939430093562,3.37421625020644e-57
"2.4","high","4 yr.","excluded","with","all","All","LPM","age_grp25-34",0.000829943840584168,6.29960598571493e-05,13.1745357164585,1.22982459994603e-39
"2.5","high","4 yr.","excluded","with","all","All","LPM","age_grp35-44",0.000736519393271741,6.2999429145708e-05,11.6908899534357,1.41892484756858e-31
"2.6","high","4 yr.","excluded","with","all","All","LPM","age_grp45-54",0.000682189402396721,6.30119851109037e-05,10.8263436106011,2.58263914862092e-27
"2.7","high","4 yr.","excluded","with","all","All","LPM","age_grp55-64",0.000583524950347491,6.30555413387799e-05,9.25414226820087,2.15957643139487e-20
