"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"1","high","4 yr.","mnwk","no","all","All","LPM","(Intercept)",-0.000661403075123289,5.09840179617551e-05,-12.9727530619386,1.74644065352461e-38
"1.1","high","4 yr.","mnwk","no","all","All","LPM","policyTRUE",-0.000353783468902285,1.79426620766817e-06,-197.17445905759,0
"1.2","high","4 yr.","mnwk","no","all","All","LPM","age_grp16-19",0.00112412048462775,5.17740062433413e-05,21.7120629866715,1.57820522777595e-104
"1.3","high","4 yr.","mnwk","no","all","All","LPM","age_grp20-24",0.000961775012381363,5.09329364269527e-05,18.8831644089621,1.56902346797501e-79
"1.4","high","4 yr.","mnwk","no","all","All","LPM","age_grp25-34",0.000962177362940254,5.08774059192252e-05,18.9116828100049,9.1395724214767e-80
"1.5","high","4 yr.","mnwk","no","all","All","LPM","age_grp35-44",0.000893378478520542,5.08788954044342e-05,17.5589204800756,5.08338122698857e-69
"1.6","high","4 yr.","mnwk","no","all","All","LPM","age_grp45-54",0.000849374865166634,5.08838945916515e-05,16.6924106730225,1.48840139041734e-62
"1.7","high","4 yr.","mnwk","no","all","All","LPM","age_grp55-64",0.00077577355236806,5.09060279861073e-05,15.2393259316907,1.93862277148178e-52
"1.8","high","4 yr.","mnwk","no","all","All","LPM","age_grp65-199",0.00065231836208001,5.09410616658671e-05,12.8053546735775,1.53025931603697e-37
"1.9","high","4 yr.","mnwk","no","all","All","LPM","curr_pts_grp1-3",0.000389844755018239,1.89894143598809e-06,205.295828312571,0
"1.10","high","4 yr.","mnwk","no","all","All","LPM","curr_pts_grp4-6",0.000837025983040429,2.71495432524884e-06,308.302049598463,0
"1.11","high","4 yr.","mnwk","no","all","All","LPM","curr_pts_grp7-9",0.00124736505279986,4.14903834418463e-06,300.639557729851,0
"1.12","high","4 yr.","mnwk","no","all","All","LPM","curr_pts_grp10-150",0.0020515768940035,6.03678632058726e-06,339.845869151771,0
"1.13","high","4 yr.","mnwk","no","all","All","LPM","month02",0.000138881186002347,4.40737445291085e-06,31.5110929389318,6.1235170825072e-218
"1.14","high","4 yr.","mnwk","no","all","All","LPM","month03",0.000154849154713949,4.30751791470663e-06,35.9485805468775,5.32846733788424e-283
"1.15","high","4 yr.","mnwk","no","all","All","LPM","month04",0.000128645206000609,4.35600829677821e-06,29.5328193235439,1.09173724454146e-191
"1.16","high","4 yr.","mnwk","no","all","All","LPM","month05",0.000163431922066471,4.35529558789925e-06,37.5248748949555,3.62194260345879e-308
"1.17","high","4 yr.","mnwk","no","all","All","LPM","month06",0.000141836507026865,4.36088506754266e-06,32.5247065286197,4.77302000817941e-232
"1.18","high","4 yr.","mnwk","no","all","All","LPM","month07",0.000109366442679647,4.28302313668811e-06,25.5348708585813,8.08625256036149e-144
"1.19","high","4 yr.","mnwk","no","all","All","LPM","month08",2.30223037955163e-05,4.17240777965473e-06,5.51775018438427,3.43367134106454e-08
"1.20","high","4 yr.","mnwk","no","all","All","LPM","month09",0.000244794114893988,4.46841670505546e-06,54.7831885546918,0
"1.21","high","4 yr.","mnwk","no","all","All","LPM","month10",0.000207212081014645,4.38721176796169e-06,47.2309275170723,0
"1.22","high","4 yr.","mnwk","no","all","All","LPM","month11",0.00019526144365298,4.40298279305451e-06,44.3475373015301,0
"1.23","high","4 yr.","mnwk","no","all","All","LPM","month12",-0.000355628894318124,3.67711397846185e-06,-96.7141340739415,0
"1.24","high","4 yr.","mnwk","no","all","All","LPM","weekdayMonday",0.000348110495935884,3.11582218996889e-06,111.723479297565,0
"1.25","high","4 yr.","mnwk","no","all","All","LPM","weekdayTuesday",0.000452987910152007,3.21274510403049e-06,140.997152118828,0
"1.26","high","4 yr.","mnwk","no","all","All","LPM","weekdayWednesday",0.000509575944895018,3.26414193572495e-06,156.113292537276,0
"1.27","high","4 yr.","mnwk","no","all","All","LPM","weekdayThursday",0.000458162109368924,3.22462510539049e-06,142.082286899966,0
"1.28","high","4 yr.","mnwk","no","all","All","LPM","weekdayFriday",0.000353435967678028,3.12667509934907e-06,113.038917203648,0
"1.29","high","4 yr.","mnwk","no","all","All","LPM","weekdaySaturday",6.64916388092976e-05,2.83354921263034e-06,23.4658493005577,9.10896665580855e-122
"2","high","4 yr.","mnwk","with","all","All","LPM","(Intercept)",-0.00053942135486279,6.3044083558648e-05,-8.55625658133301,1.16591782531915e-17
"2.1","high","4 yr.","mnwk","with","all","All","LPM","policyTRUE",-0.000984966955931481,6.29728770552084e-05,-15.6411299910588,3.81895706082248e-55
"2.2","high","4 yr.","mnwk","with","all","All","LPM","age_grp16-19",0.00141420285420692,6.42484310210047e-05,22.0114768832966,2.2360015330422e-107
"2.3","high","4 yr.","mnwk","with","all","All","LPM","age_grp20-24",0.00100838059209768,6.31006332882654e-05,15.9805146089588,1.74700185254026e-57
"2.4","high","4 yr.","mnwk","with","all","All","LPM","age_grp25-34",0.000832803519914394,6.29930724720092e-05,13.2205572332489,6.67679073490058e-40
"2.5","high","4 yr.","mnwk","with","all","All","LPM","age_grp35-44",0.00073933269552676,6.29964291596799e-05,11.7361048140164,8.32326570166711e-32
"2.6","high","4 yr.","mnwk","with","all","All","LPM","age_grp45-54",0.000685264413981594,6.30089616935004e-05,10.8756658666267,1.50552929358861e-27
"2.7","high","4 yr.","mnwk","with","all","All","LPM","age_grp55-64",0.000586654477573948,6.30525180129092e-05,9.30421965787057,1.3498005781207e-20
"2.8","high","4 yr.","mnwk","with","all","All","LPM","age_grp65-199",0.00041605282272341,6.31304783137975e-05,6.59036385967758,4.38750143755489e-11
"2.9","high","4 yr.","mnwk","with","all","All","LPM","curr_pts_grp1-3",0.00038463703716449,1.90071958822195e-06,202.363904464363,0
"2.10","high","4 yr.","mnwk","with","all","All","LPM","curr_pts_grp4-6",0.000833943961521723,2.71524118106531e-06,307.134396508574,0
"2.11","high","4 yr.","mnwk","with","all","All","LPM","curr_pts_grp7-9",0.00124854208729858,4.14850673191445e-06,300.961808183544,0
"2.12","high","4 yr.","mnwk","with","all","All","LPM","curr_pts_grp10-150",0.00206210313015622,6.03724524431813e-06,341.563585162776,0
"2.13","high","4 yr.","mnwk","with","all","All","LPM","month02",0.000138692914976565,4.40736052558152e-06,31.4684751046695,2.34650609476446e-217
"2.14","high","4 yr.","mnwk","with","all","All","LPM","month03",0.00015439946855972,4.30749676045505e-06,35.8443609237698,2.25219396810559e-281
"2.15","high","4 yr.","mnwk","with","all","All","LPM","month04",0.000131753034279561,4.35618003600478e-06,30.24508472804,6.05565457265318e-201
"2.16","high","4 yr.","mnwk","with","all","All","LPM","month05",0.000166141198821844,4.35552124927651e-06,38.1449634413887,2.30602175802527e-318
"2.17","high","4 yr.","mnwk","with","all","All","LPM","month06",0.00014413344008265,4.36115325859191e-06,33.0493866040348,1.58789186495171e-239
"2.18","high","4 yr.","mnwk","with","all","All","LPM","month07",0.00011123448538253,4.28327035821047e-06,25.9695223695857,1.09466990016949e-148
"2.19","high","4 yr.","mnwk","with","all","All","LPM","month08",2.44969781229782e-05,4.17258916635609e-06,5.87092981031999,4.3335784349716e-09
