"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"1","all","4 yr.","excluded","no","all","All","LPM","(Intercept)",0.000108684276268169,2.85806252723775e-06,38.027256308213,2.04632899699561e-316
"1.1","all","4 yr.","excluded","no","all","All","LPM","policyTRUE",-3.82345552069173e-05,4.11439005309168e-07,-92.9288538848831,0
"1.2","all","4 yr.","excluded","no","all","All","LPM","age_grp16-19",0.000436016097092944,3.34926870309251e-06,130.182477354042,0
"1.3","all","4 yr.","excluded","no","all","All","LPM","age_grp20-24",0.000346169102685893,3.02156321048386e-06,114.566228991933,0
"1.4","all","4 yr.","excluded","no","all","All","LPM","age_grp25-34",0.000227775906428236,2.89913117315999e-06,78.5669543127174,0
"1.5","all","4 yr.","excluded","no","all","All","LPM","age_grp35-44",0.000185720512679248,2.88767603023556e-06,64.3148714518707,0
"1.6","all","4 yr.","excluded","no","all","All","LPM","age_grp45-54",0.000139713229918797,2.87827862092735e-06,48.5405509053125,0
"1.7","all","4 yr.","excluded","no","all","All","LPM","age_grp55-64",9.03110950711003e-05,2.88048557865513e-06,31.3527329351414,8.92955299621234e-216
"1.8","all","4 yr.","excluded","no","all","All","LPM","age_grp65-199",2.82827336679453e-05,2.87590647766695e-06,9.8343718363503,8.00657144112317e-23
"1.9","all","4 yr.","excluded","no","all","All","LPM","curr_pts_grp1-3",0.000567347999278843,8.44012562713819e-07,672.20326372229,0
"1.10","all","4 yr.","excluded","no","all","All","LPM","curr_pts_grp4-6",0.00115208072884312,2.01956685013629e-06,570.459318425323,0
"1.11","all","4 yr.","excluded","no","all","All","LPM","curr_pts_grp7-9",0.00163693868876078,3.92136055620877e-06,417.441514315479,0
"1.12","all","4 yr.","excluded","no","all","All","LPM","curr_pts_grp10-150",0.00227113017824203,5.59709879658696e-06,405.769178065418,0
"2","all","4 yr.","excluded","with","all","All","LPM","(Intercept)",9.52572211488162e-05,4.02903150837698e-06,23.6427094081448,1.40283229837543e-123
"2.1","all","4 yr.","excluded","with","all","All","LPM","policyTRUE",-1.11511637080783e-05,5.70023748192542e-06,-1.95626300543388,0.0504341798235862
"2.2","all","4 yr.","excluded","with","all","All","LPM","age_grp16-19",0.000468455591161857,4.80231374771007e-06,97.54789373877,0
"2.3","all","4 yr.","excluded","with","all","All","LPM","age_grp20-24",0.000380219356684323,4.28604929682419e-06,88.7109154264867,0
"2.4","all","4 yr.","excluded","with","all","All","LPM","age_grp25-34",0.000253648730931717,4.10374157294888e-06,61.8091384222932,0
"2.5","all","4 yr.","excluded","with","all","All","LPM","age_grp35-44",0.000199101319886665,4.08311330627057e-06,48.7621344185818,0
