,past_pts,window,seasonality,age_int,pts_target,sex,reg_type,Variable,Estimate,Std_Error,z_stat,p_value
1,all,4 yr.,mnwk,no,all,All,LPM,(Intercept),-8.29E-05,2.96E-06,-28.06407855,2.69E-173
1.1,all,4 yr.,mnwk,no,all,All,LPM,policyTRUE,-3.87E-05,4.11E-07,-93.95140712,0
1.2,all,4 yr.,mnwk,no,all,All,LPM,age_grp16-19,0.000436325,3.35E-06,130.2750232,0
1.3,all,4 yr.,mnwk,no,all,All,LPM,age_grp20-24,0.000346196,3.02E-06,114.5752677,0
1.4,all,4 yr.,mnwk,no,all,All,LPM,age_grp25-34,0.000227823,2.90E-06,78.5832988,0
1.5,all,4 yr.,mnwk,no,all,All,LPM,age_grp35-44,0.000185636,2.89E-06,64.28556838,0
1.6,all,4 yr.,mnwk,no,all,All,LPM,age_grp45-54,0.000139812,2.88E-06,48.57507963,0
1.7,all,4 yr.,mnwk,no,all,All,LPM,age_grp55-64,9.05E-05,2.88E-06,31.42964938,7.96E-217
1.8,all,4 yr.,mnwk,no,all,All,LPM,age_grp65-199,2.86E-05,2.88E-06,9.949973938,2.52E-23
1.9,all,4 yr.,mnwk,no,all,All,LPM,curr_pts_grp1-3,0.000567603,8.44E-07,672.4941691,0
1.1,all,4 yr.,mnwk,no,all,All,LPM,curr_pts_grp4-6,0.001152477,2.02E-06,570.6552616,0
1.11,all,4 yr.,mnwk,no,all,All,LPM,curr_pts_grp7-9,0.001637277,3.92E-06,417.5350449,0
1.12,all,4 yr.,mnwk,no,all,All,LPM,curr_pts_grp10-150,0.002271826,5.60E-06,405.8963081,0
1.13,all,4 yr.,mnwk,no,all,All,LPM,month02,7.64E-05,9.96E-07,76.71739882,0
1.14,all,4 yr.,mnwk,no,all,All,LPM,month03,9.31E-05,9.80E-07,94.99457177,0
1.15,all,4 yr.,mnwk,no,all,All,LPM,month04,8.55E-05,9.88E-07,86.58161803,0
1.16,all,4 yr.,mnwk,no,all,All,LPM,month05,9.76E-05,9.87E-07,98.91222678,0
1.17,all,4 yr.,mnwk,no,all,All,LPM,month06,8.19E-05,9.85E-07,83.21680636,0
1.18,all,4 yr.,mnwk,no,all,All,LPM,month07,6.09E-05,9.63E-07,63.27100724,0
1.19,all,4 yr.,mnwk,no,all,All,LPM,month08,2.16E-05,9.36E-07,23.03307274,2.17E-117
1.2,all,4 yr.,mnwk,no,all,All,LPM,month09,0.000129768,1.01E-06,128.0402181,0
1.21,all,4 yr.,mnwk,no,all,All,LPM,month10,0.000113069,9.95E-07,113.6602077,0
1.22,all,4 yr.,mnwk,no,all,All,LPM,month11,0.000100705,9.94E-07,101.2629068,0
1.23,all,4 yr.,mnwk,no,all,All,LPM,month12,-0.000148043,8.19E-07,-180.7667003,0
1.24,all,4 yr.,mnwk,no,all,All,LPM,weekdayMonday,0.000146379,7.09E-07,206.3455357,0
1.25,all,4 yr.,mnwk,no,all,All,LPM,weekdayTuesday,0.00019395,7.33E-07,264.6077238,0
1.26,all,4 yr.,mnwk,no,all,All,LPM,weekdayWednesday,0.000217605,7.44E-07,292.3248518,0
1.27,all,4 yr.,mnwk,no,all,All,LPM,weekdayThursday,0.000193426,7.34E-07,263.457595,0
1.28,all,4 yr.,mnwk,no,all,All,LPM,weekdayFriday,0.000150472,7.13E-07,211.0870135,0
1.29,all,4 yr.,mnwk,no,all,All,LPM,weekdaySaturday,2.95E-05,6.47E-07,45.62435555,0
2,all,4 yr.,mnwk,with,all,All,LPM,(Intercept),-9.63E-05,4.10E-06,-23.49308553,4.80E-122
