"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","N"
"1","all","4 yr.","mnwk","no","all","All","LPM",9675245494
"2","all","4 yr.","mnwk","0-15","all","All","LPM",18976150
"3","all","4 yr.","mnwk","16-19","all","All","LPM",252903500
"4","all","4 yr.","mnwk","20-24","all","All","LPM",679154662
"5","all","4 yr.","mnwk","25-34","all","All","LPM",1721109220
"6","all","4 yr.","mnwk","35-44","all","All","LPM",1957261955
"7","all","4 yr.","mnwk","45-54","all","All","LPM",2171413198
"8","all","4 yr.","mnwk","55-64","all","All","LPM",1611824607
"9","all","4 yr.","mnwk","65-199","all","All","LPM",1262602202
"10","all","4 yr.","mnwk","no","all","All","Logit",9675245494
"11","all","4 yr.","mnwk","0-15","all","All","Logit",18976150
"12","all","4 yr.","mnwk","16-19","all","All","Logit",252903500
"13","all","4 yr.","mnwk","20-24","all","All","Logit",679154662
"14","all","4 yr.","mnwk","25-34","all","All","Logit",1721109220
"15","all","4 yr.","mnwk","35-44","all","All","Logit",1957261955
"16","all","4 yr.","mnwk","45-54","all","All","Logit",2171413198
"17","all","4 yr.","mnwk","55-64","all","All","Logit",1611824607
"18","all","4 yr.","mnwk","65-199","all","All","Logit",1262602202
"19","all","4 yr.","mnwk","no","all","Male","LPM",5335033221
"20","all","4 yr.","mnwk","with","all","Male","LPM",5335033221
"21","all","4 yr.","mnwk","no","1","Male","LPM",5335033221
"22","all","4 yr.","mnwk","with","1","Male","LPM",5335033221
"23","all","4 yr.","mnwk","no","2","Male","LPM",5335033221
"24","all","4 yr.","mnwk","with","2","Male","LPM",5335033221
"25","all","4 yr.","mnwk","no","3","Male","LPM",5335033221
"26","all","4 yr.","mnwk","with","3","Male","LPM",5335033221
"27","all","4 yr.","mnwk","no","4","Male","LPM",5335033221
"28","all","4 yr.","mnwk","with","4","Male","LPM",5335033221
"29","all","4 yr.","mnwk","no","5","Male","LPM",5335033221
"30","all","4 yr.","mnwk","with","5","Male","LPM",5335033221
"31","all","4 yr.","mnwk","no","7","Male","LPM",5335033221
"32","all","4 yr.","mnwk","with","7","Male","LPM",5335033221
"33","all","4 yr.","mnwk","no","9+","Male","LPM",5335033221
"34","all","4 yr.","mnwk","with","9+","Male","LPM",5335033221
"35","all","4 yr.","mnwk","no","all","Female","LPM",4340212273
"36","all","4 yr.","mnwk","with","all","Female","LPM",4340212273
"37","all","4 yr.","mnwk","no","1","Female","LPM",4340212273
"38","all","4 yr.","mnwk","with","1","Female","LPM",4340212273
"39","all","4 yr.","mnwk","no","2","Female","LPM",4340212273
"40","all","4 yr.","mnwk","with","2","Female","LPM",4340212273
"41","all","4 yr.","mnwk","no","3","Female","LPM",4340212273
"42","all","4 yr.","mnwk","with","3","Female","LPM",4340212273
"43","all","4 yr.","mnwk","no","4","Female","LPM",4340212273
